ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688041.SH,20240430,79.83,80.32,78.33,79.0,79.67,-0.6700000000000017,-0.84,120800.6,960052.136
688041.SH,20240429,79.59,81.02,78.92,79.67,78.91,0.7600000000000051,0.96,203639.7,1634066.411
688041.SH,20240426,75.79,79.41,75.79,78.91,74.46,4.450000000000003,5.98,235701.4,1853724.362
688041.SH,20240425,74.34,75.24,73.94,74.46,75.05,-0.5900000000000034,-0.79,89281.77,667327.935
688041.SH,20240424,72.37,75.39,72.24,75.05,71.39,3.6599999999999966,5.13,183057.69,1356329.266
688041.SH,20240423,73.78,74.24,71.22,71.39,73.12,-1.730000000000004,-2.37,130591.74,943766.113
688041.SH,20240422,72.03,74.09,70.08,73.12,75.26,-2.1400000000000006,-2.84,158146.34,1150006.09
688041.SH,20240419,78.75,78.88,75.26,75.26,79.05,-3.789999999999992,-4.79,173370.44,1332471.288
688041.SH,20240418,78.98,81.02,78.23,79.05,79.78,-0.730000000000004,-0.92,168550.15,1345737.023
688041.SH,20240417,78.05,80.41,76.95,79.78,77.6,2.180000000000007,2.81,196438.22,1561786.178
688041.SH,20240416,77.75,78.55,76.14,77.6,78.41,-0.8100000000000023,-1.03,145686.5,1130819.667
688041.SH,20240415,77.35,79.25,76.74,78.41,77.74,0.6700000000000017,0.86,196783.14,1542971.195
688041.SH,20240412,77.36,79.5,76.42,77.74,73.77,3.969999999999999,5.38,321588.82,2517739.978
688041.SH,20240411,73.32,74.66,72.32,73.77,73.32,0.45000000000000284,0.61,132246.18,977372.212
688041.SH,20240410,75.06,75.35,72.95,73.32,75.55,-2.230000000000004,-2.95,106467.29,788311.245
688041.SH,20240409,74.02,75.62,72.48,75.55,73.77,1.7800000000000011,2.41,123242.4,916139.102
688041.SH,20240408,74.26,75.31,73.76,73.77,74.26,-0.4900000000000091,-0.66,105907.64,791323.435
688041.SH,20240403,76.07,76.96,74.09,74.26,77.01,-2.75,-3.57,169568.66,1275600.414
