ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20240920,5709.64,5702.55,5715.14,5674.49,5713.64,-11.09,-0.19,0.71,5736380.0
SPX,20240919,5702.63,5713.64,5733.57,5686.42,5618.26,95.38,1.7,0.84,2789941.0
SPX,20240918,5641.68,5618.26,5689.75,5615.08,5634.58,-16.32,-0.29,1.33,2458455.0
SPX,20240917,5655.51,5634.58,5670.81,5614.05,5633.09,1.49,0.03,1.01,2342474.0
SPX,20240916,5615.21,5633.09,5636.05,5604.53,5626.02,7.07,0.13,0.56,2318066.0
SPX,20240913,5603.34,5626.02,5636.27,5601.65,5595.76,30.26,0.54,0.62,2202686.0
SPX,20240912,5557.48,5595.76,5600.71,5535.5,5554.13,41.63,0.75,1.17,2572651.0
SPX,20240911,5496.42,5554.13,5560.41,5406.96,5495.52,58.61,1.07,2.79,2798709.0
SPX,20240910,5490.51,5495.52,5497.91,5441.72,5471.05,24.47,0.45,1.03,2530774.0
SPX,20240909,5442.07,5471.05,5484.2,5434.49,5408.42,62.63,1.16,0.92,2563089.0
SPX,20240906,5507.33,5408.42,5522.47,5402.62,5503.41,-94.99,-1.73,2.18,2796173.0
SPX,20240905,5520.08,5503.41,5546.3,5480.54,5520.07,-16.66,-0.3,1.19,2438758.0
SPX,20240904,5506.68,5520.07,5552.99,5503.66,5528.93,-8.86,-0.16,0.89,2476389.0
SPX,20240903,5623.89,5528.93,5623.89,5504.33,5648.4,-119.47,-2.12,2.12,2889026.0
SPX,20241031,5775.34,5705.45,5775.34,5702.86,5813.67,-108.22,-1.86,1.25,3332361.0
SPX,20241030,5832.65,5813.67,5850.94,5811.28,5832.92,-19.25,-0.33,0.68,2847423.0
SPX,20241029,5819.68,5832.92,5847.19,5802.17,5823.52,9.4,0.16,0.77,2572019.0
SPX,20241028,5833.93,5823.52,5842.92,5823.08,5808.12,15.4,0.27,0.34,2209335.0
SPX,20241025,5826.75,5808.12,5862.82,5799.98,5809.86,-1.74,-0.03,1.08,2270597.0
SPX,20241024,5817.8,5809.86,5817.8,5784.92,5797.42,12.44,0.21,0.57,2283228.0
SPX,20241023,5834.5,5797.42,5834.85,5762.41,5851.2,-53.78,-0.92,1.24,2375100.0
SPX,20241022,5832.7,5851.2,5863.04,5821.17,5853.98,-2.78,-0.05,0.72,2245294.0
SPX,20241021,5857.82,5853.98,5866.92,5824.79,5864.67,-10.69,-0.18,0.72,2091356.0
SPX,20241018,5859.43,5864.67,5872.17,5846.11,5841.47,23.2,0.4,0.45,2157845.0
SPX,20241017,5875.62,5841.47,5878.46,5840.25,5842.47,-1.0,-0.02,0.65,2394376.0
SPX,20241016,5816.58,5842.47,5846.52,5808.34,5815.26,27.21,0.47,0.66,2301295.0
SPX,20241015,5866.74,5815.26,5870.36,5804.48,5859.85,-44.59,-0.76,1.12,2828510.0
SPX,20241014,5829.81,5859.85,5871.41,5829.57,5815.03,44.82,0.77,0.72,2003295.0
SPX,20241011,5775.09,5815.03,5822.13,5775.09,5780.05,34.98,0.61,0.81,2154169.0
SPX,20241010,5778.36,5780.05,5795.03,5764.76,5792.04,-11.99,-0.21,0.52,2091866.0
SPX,20241009,5751.8,5792.04,5796.8,5745.02,5751.13,40.91,0.71,0.9,2222041.0
SPX,20241008,5719.14,5751.13,5757.6,5714.56,5695.94,55.19,0.97,0.76,2274877.0
SPX,20241007,5737.8,5695.94,5739.34,5686.85,5751.07,-55.13,-0.96,0.91,2384805.0
SPX,20241004,5737.48,5751.07,5753.21,5702.83,5699.94,51.13,0.9,0.88,2211353.0
SPX,20241003,5698.19,5699.94,5718.78,5677.37,5709.54,-9.6,-0.17,0.73,2199795.0
SPX,20241002,5698.14,5709.54,5719.63,5674.0,5708.75,0.79,0.01,0.8,2224345.0
SPX,20241001,5757.73,5708.75,5757.73,5681.28,5762.48,-53.73,-0.93,1.33,2623242.0
SPX,20241129,6003.98,6032.38,6044.17,6003.98,5998.74,33.64,0.56,0.67,1446140.0
SPX,20241127,6014.11,5998.74,6020.16,5984.87,6021.63,-22.89,-0.38,0.59,2090790.0
SPX,20241126,6000.03,6021.63,6025.42,5992.27,5987.37,34.26,0.57,0.55,2416828.0
SPX,20241125,5992.28,5987.37,6020.75,5963.91,5969.34,18.03,0.3,0.95,3948305.0
SPX,20241122,5944.36,5969.34,5972.9,5944.36,5948.71,20.63,0.35,0.48,2609740.0
SPX,20241121,5940.58,5948.71,5963.32,5887.26,5917.11,31.6,0.53,1.29,2857015.0
